Name,Rolls,Current Substation (from Rolls),record_id,Width Average (mm)
CDCBM - R45156: X - PO-4928,R45156: CDCBM,Material Prep,recvo7mYRU4l7rnBI,1386.7
CDCBM - R45253: X - PO-4928,R45253: CDCBM,Material Prep,recqySaw5oOOEFj61,1396.7
CDCBM - R45113: X - PO-4928,R45113: CDCBM,Material Prep,recunFt1DIB9nRpef,1400.0
CDCBM - R44407: X - PO-4928,R44407: CDCBM,Material Prep,recBP5gx6yClqebyO,1396.7
CDCBM - R45082: X - PO-5186,R45082: CDCBM,Material Prep,recATlOYP7kfYIc5a,1390.0
CDCBM - R44447: X - PO-4928,R44447: CDCBM,Material Prep,recY1IAGKLeDvvtpi,1386.7
CDCBM - R44302: X - PO-4928,R44302: CDCBM,Material Prep,recQX0gWaUJ3wlofQ,1386.7
CDCBM - R44316: X - PO-4928,R44316: CDCBM,Material Prep,rec9NkUBI49k4I7SK,1400.0
CDCBM - R40346: X - PO-5186,R40346: CDCBM,Material Prep,recI5n1JcgWtUbsd3,1396.7
CDCBM - R40341: X - PO-5186,R40341: CDCBM,Material Prep,receyz2ZpSQXuTK4q,1400.0
CDCBM - R45821: X - PO-5186,R45821: CDCBM,Material Prep,recTDQoEZ9fYBXHb7,1403.3
CDCBM - R46039: X - PO-5186,R46039: CDCBM,Material Prep,recg3O90eIH0flwPm,1400.0
CDCBM - R45344: X - PO-4928,R45344: CDCBM,Material Prep,recCngymUf9qZ9yzB,1400.0
CDCBM - R46610: X - PO-5186,R46610: CDCBM,Material Prep,recMGIOl70deH3lxh,1403.3
CDCBM - R46673: X - PO-5186,R46673: CDCBM,Material Prep,recFni6wr80Vmv5a7,1403.3
CDCBM - R47068: X - PO-5186,R47068: CDCBM,Material Prep,recIIcP0r8XvipDWd,1390.0
CDCBM - R46054: X - PO-5186,R46054: CDCBM,Material Prep,recXKMvpiOfjyQKWI,1393.3
CDCBM - R40347: X - PO-5186,R40347: CDCBM,Material Prep,rec9uzePNiKlUblBv,1400.0
CDCBM - R46597: X - PO-5186,R46597: CDCBM,Material Prep,recsi5GfmyPaP4f9n,1396.7
CDCBM - R45863: X - PO-5186,R45863: CDCBM,Material Prep,recfb9uPcFJGWz7Rq,1390.0
CDCBM - R44434: X - PO-4928,R44434: CDCBM,Material Prep,recFYt5YtkBSfvDdn,1400.0
CDCBM - R45243: X - PO-4928,R45243: CDCBM,Material Prep,recpnvYTaH1M4GDP5,1393.3
CDCBM - R40343: X - PO-5186,R40343: CDCBM,Material Prep,recXTx8SFoPKELtEH,1400.0
CDCBM - R49436: X - PO-5186,R49436: CDCBM,Material Prep,recKSbRvz8SLFVw4W,1390.0
CDCBM - R45680: X - PO-5186,R45680: CDCBM,Material Prep,recgYI5wMvJrT7M2W,1393.3
CDCBM - R44420: X - PO-4928,R44420: CDCBM,Material Prep,recx8vxiQOEUGZBty,1396.7
CDCBM - R43998: X - PO-4928,R43998: CDCBM,Material Prep,rec3vfhmJo0VnxXgB,1396.7
CDCBM - R44262: X - PO-4928,R44262: CDCBM,Material Prep,recXU16ji2YdsIclW,1400.0
CDCBM - R46499: X - PO-5186,R46499: CDCBM,Material Prep,recqKd5Bdo308owYc,1403.3
CDCBM - R49021: X - PO-5186,R49021: CDCBM,Material Prep,recPptJ6hu2NWaNda,1386.7
CDCBM - R47342: X - PO-5186,R47342: CDCBM,Material Prep,rec44ULVOCredgkUS,1380.0
CDCBM - R47231: X - PO-5186,R47231: CDCBM,Material Prep,reczUz02GpcBDixJY,1380.0
CDCBM - R47307: X - PO-5186,R47307: CDCBM,Material Prep,recvimFnRzzYAOTa9,1400.0
CDCBM - R48982: X - PO-5186,R48982: CDCBM,Material Prep,recIEuSGFt6GGBhe2,1393.3
CDCBM - R47394: X - PO-5186,R47394: CDCBM,Material Prep,recjDZ3PXg2pHkFEV,1380.0
CDCBM - R47882: X - PO-5186,R47882: CDCBM,Material Prep,recKcJNriBNk8CwLm,1380.0
CDCBM - R47553: X - PO-5186,R47553: CDCBM,Material Prep,receorJcLO34JIaCh,1393.3
CDCBM - R47961: X - PO-5186,R47961: CDCBM,Material Prep,rec4LqJ7Guxdkr5K0,1373.3
CDCBM - R49616: X - PO-5186,R49616: CDCBM,Material Prep,reccX6n3G4pAfI19q,1400.0
CDCBM - R49701: X - PO-5186,R49701: CDCBM,Material Prep,rec1hNNLzEGsW8G1d,1400.0
CDCBM - R49999: X - PO-5186,R49999: CDCBM,Material Prep,rec9aqZjxQQYLMW0f,1400.0
CDCBM - R48120: X - PO-5186,R48120: CDCBM,Material Prep,recuPGsG5bl2AzyxW,1380.0
CDCBM - R50138: X - PO-5186,R50138: CDCBM,Material Prep,reclcpoDzU0s7CkU7,1410.0
CDCBM - R50234: X - PO-5186,R50234: CDCBM,Material Prep,recOW2gP8DmgVJSIA,1400.0
CDCBM - R50284: X - PO-5186,R50284: CDCBM,Material Prep,recb9m4Ei6lKOlPuv,1400.0
CDCBM - R50337: X - PO-5186,R50337: CDCBM,Material Prep,recMjwX5jFNJir1X9,1400.0
CDCBM - R50519: X - PO-5186,R50519: CDCBM,Material Prep,rec8EXdHj4QFfyOog,1400.0
CDCBM - R50751: X - PO-5186,R50751: CDCBM,Material Prep,recQWDFnhftyhYuHH,1400.0
CDCBM - R51227: X - PO-5186,R51227: CDCBM,Material Prep,rec8n53NEpMvmSOh3,1400.0
CDCBM - R51310: X - PO-5186,R51310: CDCBM,Material Prep,recyO571KTxYB8MeQ,1390.0
CDCBM - R51619: X - PO-5186,R51619: CDCBM,Material Prep,recFjQA4yIAR7TxjW,1400.0
CDCBM - R51814: X - PO-5186,R51814: CDCBM,Material Prep,reciQ1l6jiBdwSFA5,1400.0
CDCBM - R51904: X - PO-5186,R51904: CDCBM,Material Prep,recg08vmzHD7dRQ9U,1400.0
